"ID","station_id","base_power","mwh_per_year","water_turbine_type","reservoir_id","reservoir_name","hydro_type","max_head","min_head"
"72","01113308000099","1.600000","35.000000","轴流式","900233000000000001","紧水滩水库","径流式","NULL","NULL"
"73","01113308000100","0.800000","60.000000","轴流式","900233000000000001","紧水滩水库","径流式","NULL","NULL"
"74","01113308000101","0.630000","62.000000","轴流式","900233000000000001","紧水滩水库","径流式","NULL","NULL"
"75","01113308000102","1.260000","35.000000","轴流式","900233000000000001","紧水滩水库","径流式","NULL","NULL"
"76","01113308000103","1.200000","10.000000","轴流式","900233000000000001","紧水滩水库","径流式","NULL","NULL"
"77","01113308000104","0.650000","15.000000","轴流式","900233000000000001","紧水滩水库","径流式","NULL","NULL"
"78","01113308000105","0.160000","70.000000","轴流式","900233000000000001","紧水滩水库","径流式","NULL","NULL"
"79","01113308000106","0.400000","140.000000","轴流式","900233000000000001","紧水滩水库","径流式","NULL","NULL"
"80","01113308000107","0.630000","80.000000","轴流式","900233000000000001","紧水滩水库","径流式","NULL","NULL"
"81","01113308000108","1.260000","40.000000","轴流式","900233000000000001","紧水滩水库","径流式","NULL","NULL"
"82","01113308000109","1.200000","35.000000","轴流式","900233000000000001","紧水滩水库","径流式","NULL","NULL"
"83","01113308000110","0.650000","60.000000","轴流式","900233000000000001","紧水滩水库","径流式","NULL","NULL"
"84","01113308000111","0.160000","62.000000","轴流式","900233000000000001","紧水滩水库","径流式","NULL","NULL"
"85","01113308000112","0.400000","35.000000","轴流式","900233000000000001","紧水滩水库","径流式","NULL","NULL"
"86","01113308000113","1.250000","10.000000","NULL","900233000000000001","紧水滩水库","NULL","NULL","NULL"
"87","01113308000114","2.500000","15.000000","轴流式","900233000000000001","紧水滩水库","径流式","NULL","NULL"
"88","01113308000115","1.600000","70.000000","轴流式","900233000000000001","紧水滩水库","径流式","NULL","NULL"
"89","01113308000116","0.800000","140.000000","轴流式","900233000000000001","紧水滩水库","径流式","NULL","NULL"
"90","01113308000117","0.630000","80.000000","轴流式","900233000000000001","紧水滩水库","径流式","NULL","NULL"
"91","01113308000118","1.260000","40.000000","轴流式","900233000000000001","紧水滩水库","径流式","NULL","NULL"
"92","01113308000119","1.200000","35.000000","轴流式","900233000000000001","紧水滩水库","径流式","NULL","NULL"
"93","01113308000120","0.650000","60.000000","轴流式","900233000000000001","紧水滩水库","径流式","NULL","NULL"
"94","01113308000121","0.160000","62.000000","轴流式","900233000000000001","紧水滩水库","径流式","NULL","NULL"
"95","01113308000122","0.400000","35.000000","轴流式","900233000000000001","紧水滩水库","径流式","NULL","NULL"
